,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Expected,Expected,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
,Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
0,Arsenal,23,23.0,11850,13996,84.7,196925,62692,5718,6284,91.0,5120,5724,89.4,776,1406,55.2,31,30.7,31.4,0.3,290,1014,309,45,1324
1,Aston Villa,27,23.0,10202,12228,83.4,178019,59950,4483,4994,89.8,4679,5257,89.0,851,1467,58.0,34,30.6,29.1,3.4,264,781,243,49,975
2,Bournemouth,26,22.6,7074,9366,75.5,129715,47574,2967,3458,85.8,3137,3677,85.3,795,1673,47.5,21,22.0,18.7,-1.0,211,582,195,50,731
3,Brentford,28,21.0,7538,9874,76.3,134419,49543,3355,3904,85.9,3259,3922,83.1,760,1546,49.2,18,24.8,24.9,-6.8,180,558,176,52,757
4,Brighton,27,23.0,13716,15687,87.4,217152,71338,7085,7655,92.6,5345,5882,90.9,852,1369,62.2,32,28.7,27.9,3.3,265,927,245,48,1132
5,Burnley,30,23.0,8445,10831,78.0,148260,49494,3820,4387,87.1,3667,4274,85.8,777,1620,48.0,19,16.6,14.1,2.4,184,544,111,21,683
6,Chelsea,29,23.0,12055,14088,85.6,198572,66197,5980,6504,91.9,4892,5440,89.9,865,1422,60.8,24,28.5,26.2,-4.5,218,846,227,26,992
7,Crystal Palace,26,23.0,7906,10157,77.8,140695,52009,3581,4123,86.9,3392,3929,86.3,768,1591,48.3,20,20.6,17.8,-0.6,203,625,158,35,699
8,Everton,25,23.0,6485,9021,71.9,119952,52139,2976,3517,84.6,2481,3107,79.9,862,1829,47.1,12,26.4,18.4,-14.4,215,542,174,53,665
9,Fulham,25,23.0,10244,12605,81.3,180877,60455,4523,5069,89.2,4471,5103,87.6,993,1749,56.8,19,19.6,18.2,-0.6,209,708,201,54,882
10,Liverpool,28,23.0,11803,14204,83.1,202940,70282,5478,6060,90.4,5040,5743,87.8,1012,1722,58.8,38,35.2,30.7,2.8,329,940,270,42,1197
11,Luton Town,23,22.6,5749,8151,70.5,106382,44145,2587,3072,84.2,2266,2844,79.7,715,1674,42.7,20,17.8,16.7,2.2,185,470,133,46,608
12,Manchester City,25,21.0,13239,14944,88.6,217505,60788,6611,7041,93.9,5335,5794,92.1,966,1441,67.0,38,32.0,33.5,6.0,278,1010,242,37,1057
13,Manchester Utd,30,23.0,9753,12103,80.6,163928,55390,4678,5305,88.2,3802,4442,85.6,899,1588,56.6,22,24.9,21.7,-2.9,249,795,221,33,977
14,Newcastle Utd,30,23.0,9994,12195,82.0,169378,58497,4783,5322,89.9,4129,4737,87.2,850,1530,55.6,32,30.5,26.1,1.5,243,682,236,47,939
15,Nott'ham Forest,33,23.0,7041,9404,74.9,125641,50224,3228,3801,84.9,2829,3511,80.6,782,1533,51.0,23,19.9,15.5,3.1,178,515,139,40,651
16,Sheffield Utd,32,23.0,6031,8502,70.9,106675,44454,2878,3430,83.9,2318,2920,79.4,656,1595,41.1,9,12.3,11.0,-3.3,143,429,123,25,528
17,Tottenham,27,23.0,11979,14080,85.1,190811,66047,6105,6667,91.6,4798,5368,89.4,704,1229,57.3,39,34.0,31.6,5.0,287,919,259,30,1207
18,West Ham,24,23.0,7780,10110,77.0,136045,52732,3710,4178,88.8,3028,3614,83.8,810,1665,48.6,25,20.9,19.1,4.1,188,590,134,36,741
19,Wolves,25,23.0,8755,11031,79.4,146248,50281,4365,4924,88.6,3408,3981,85.6,733,1534,47.8,28,22.2,18.5,5.8,197,540,154,36,708
