,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
0,Arsenal,22,25.1,60.5,8,88,720,8.0,15,9,24,10,5,5,14,1,14.9,11.2,8.1,19.3,173,393,1.87,1.13,3.0,1.25,2.37,1.86,1.01,2.87,1.4,2.41
1,Aston Villa,23,27.0,49.1,8,88,720,8.0,18,12,30,16,2,2,22,0,15.1,13.6,10.2,23.8,148,300,2.25,1.5,3.75,2.0,3.5,1.88,1.28,3.16,1.7,2.98
2,Bournemouth,23,25.8,44.0,8,88,720,8.0,5,4,9,5,0,0,13,0,8.8,8.8,5.8,14.6,142,253,0.62,0.5,1.13,0.62,1.13,1.1,0.72,1.83,1.1,1.83
3,Brentford,24,26.3,49.0,8,88,720,8.0,11,7,18,9,2,2,18,0,13.8,12.4,10.2,22.6,111,297,1.37,0.87,2.25,1.13,2.0,1.72,1.27,2.99,1.55,2.82
4,Brighton,25,27.2,60.1,8,88,720,8.0,20,16,36,19,1,1,23,0,16.5,15.7,13.2,28.9,187,369,2.5,2.0,4.5,2.37,4.37,2.06,1.65,3.72,1.96,3.62
5,Burnley,24,24.7,48.8,8,88,720,8.0,7,7,14,7,0,0,17,2,6.5,6.5,5.6,12.1,135,219,0.87,0.87,1.75,0.87,1.75,0.81,0.7,1.52,0.81,1.52
6,Chelsea,22,25.0,63.1,8,88,720,8.0,10,6,16,9,1,2,26,1,15.0,13.5,9.8,23.2,210,377,1.25,0.75,2.0,1.13,1.87,1.88,1.22,3.1,1.68,2.9
7,Crystal Palace,19,27.6,44.8,8,88,720,8.0,7,6,13,7,0,0,11,0,8.9,8.9,7.8,16.8,118,264,0.87,0.75,1.62,0.87,1.62,1.12,0.98,2.09,1.12,2.09
8,Everton,23,27.6,45.9,8,88,720,8.0,9,5,14,9,0,0,13,0,14.7,14.7,11.5,26.3,138,255,1.13,0.62,1.75,1.13,1.75,1.84,1.44,3.28,1.84,3.28
9,Fulham,23,29.4,52.0,8,88,720,8.0,7,2,9,7,0,0,22,2,8.7,8.7,5.7,14.5,142,311,0.87,0.25,1.13,0.87,1.13,1.09,0.72,1.81,1.09,1.81
10,Liverpool,21,27.3,52.6,8,88,720,8.0,16,10,26,14,2,3,17,4,16.8,14.3,11.6,25.9,162,353,2.0,1.25,3.25,1.75,3.0,2.11,1.45,3.56,1.79,3.24
11,Luton Town,20,27.2,37.3,8,88,720,8.0,6,3,9,4,2,2,15,0,9.5,8.0,6.3,14.2,112,244,0.75,0.37,1.13,0.5,0.87,1.19,0.78,1.97,1.0,1.78
12,Manchester City,24,26.6,64.4,8,88,720,8.0,17,13,30,16,1,2,15,1,14.9,13.3,11.1,24.4,216,385,2.12,1.62,3.75,2.0,3.62,1.86,1.39,3.25,1.67,3.06
13,Manchester Utd,25,27.2,53.9,8,88,720,8.0,9,7,16,8,1,1,19,0,12.6,11.8,10.7,22.5,182,418,1.13,0.87,2.0,1.0,1.87,1.58,1.34,2.92,1.48,2.82
14,Newcastle Utd,20,27.9,53.4,8,88,720,8.0,20,13,33,18,2,2,21,0,17.3,15.7,12.0,27.7,164,310,2.5,1.62,4.12,2.25,3.87,2.16,1.5,3.66,1.96,3.46
15,Nott'ham Forest,25,26.6,38.6,8,88,720,8.0,8,7,15,8,0,0,25,2,7.8,7.8,6.3,14.0,115,219,1.0,0.87,1.87,1.0,1.87,0.97,0.78,1.76,0.97,1.76
16,Sheffield Utd,25,27.0,38.6,8,88,720,8.0,4,2,6,4,0,0,25,1,6.1,6.1,3.7,9.8,58,188,0.5,0.25,0.75,0.5,0.75,0.76,0.46,1.22,0.76,1.22
17,Tottenham,21,25.2,60.8,8,88,720,8.0,16,14,30,16,0,0,29,1,15.0,15.0,12.6,27.6,228,460,2.0,1.75,3.75,2.0,3.75,1.87,1.57,3.45,1.87,3.45
18,West Ham,19,28.9,37.9,8,88,720,8.0,15,13,28,14,1,1,21,1,12.2,11.5,9.1,20.5,113,215,1.87,1.62,3.5,1.75,3.38,1.53,1.13,2.66,1.43,2.56
19,Wolves,21,27.0,45.4,8,88,720,8.0,8,7,15,8,0,0,27,3,9.9,9.9,7.6,17.4,149,229,1.0,0.87,1.87,1.0,1.87,1.23,0.95,2.18,1.23,2.18
